Category,Product,Code,Supplier,UnitCost,UnitPrice,Inventory_Dapa
brakes,Shimano V-Brake T4000 (original),81104,Kent,680,1220,100000
rims,Rim 26 White color Strider mtb,16010,,680,1190,100000
seat post,Seat Post - Strider 27.2 (618blk),81079,Avenue Bikes,680,1190,100000
tires,Tire 26 x 2.35 - Maxxis High Roller,81626,Kent,680,950,100000
frames,Frame 16 - EX-800,81564,Kent,675,1150,100000
Watches,Watch - Boamigo Dual time,40150,CHN,675,1350,100000
pedal,Pedal 9/16 KRONOS Fuse,40119,Avenue Bikes,670,900,100000
pedal,Pedal 9/16 KRONOS KICKASS (sealed Bearing),40120,Avenue Bikes,670,900,100000
pedal,Pedal 9/16 KRONOS Mission,40121,Avenue Bikes,670,900,100000
pedal,Pedal 9/16 KRONOS MOMENTUM,40122,Avenue Bikes,670,900,100000
rims,Rim 20 - Catcher SUPER34,40092,Avenue Bikes,670,950,100000
shifter,Shifter w/ lever 7s with cable shimano,40083,Kent,670,1200,100000
apparel,Sunglasses -Evesco Polarized blk only,81854,CHN,665,1250,100000
handle bar,Handle Bar - Carbon - Keddie 700mm,81469,CHN,657,1350,100000
accessories,Carrier Rack Alloy (Seat Post),10412,,650,900,100000
accessories,Swimming Fins,40180,,650,950,100000
accessories,Shorts - Trailman - S,81320,Avenue Bikes,650,1300,100000
accessories,Shorts - Trailman - L,81321,Avenue Bikes,650,1300,100000
accessories,Shorts - Trailman - XL,81322,Avenue Bikes,650,1300,100000
apparel,Jersey LongSleeve Shirt Race Face,81840,CHN,650,1250,100000
chainwheel,Chain Wheel Shimano 44T FC-M71,100181,Avenue Bikes,650,1060,100000
handle post,Handle post stem - Race Face,81834,CHN,650,1250,100000
head,Headset - Nest alloy Internal sealed,40065,CHN,650,1050,100000
tires,Tire 27.5 Maxxis Pace,81505,Avenue Bikes,650,1150,100000
Watches,SKMEI Girls rubber watch waterproof.,81597,CHN,650,1000,100000
derailleur,Front Derailleur Sora RoadBike,40207,Kent,645,1160,100000
tires,Tire 27.5x1.95 BlackJack Folding,81442,Kent,630,1150,100000
tires,Tire 27.5x2.10 Jack Rabbit Folding,81443,Kent,630,1200,100000
accessories,Headset - Storm Alloy Internal,40032,,620,950,100000
freewheel,Freewheel 9s Shimano Cassette HG-30,10175,Kent,620,1150,100000
freewheel,Freewheel 9s Cassette Type (Epoch)shimano blk,10432,Avenue Bikes,620,1150,100000
handle bar,Handle bar STORM blk al-618 straight,40035,Avenue Bikes,620,980,100000
head,Stem - PURARAZA Carbon Fiber Stem Red 80MM,81873,CHN,620,1240,100000
head,Stem - PURARAZA Carbon Fiber Stem Burgandy 90MM,81874,CHN,620,1300,100000
head,Stem - PURARAZA Carbon Fiber stem Yellow 70MM,81875,CHN,620,1200,100000
head,Stem - PURARAZA Carbon Fiber Stem Purple 100mm,81876,CHN,620,1350,100000
rims,Rim 26 - Alex XC44,72008,Kent,620,1085,100000
accessories,Light - West Biking Front Handle Bar YP0701166,81812,,615,1280,100000
shifter,Shifter - noLever 8s Shimano nonSeries,81729,Kent,615,950,100000
accessories,Tubeless Valve Presta,40221,,600,1200,100000
accessories,SKMEI Men Sports Watches Waterproof,81704,CHN,600,1250,100000
apparel,Shorts - Cycling,81799,,600,900,100000
apparel,Shorts - Cycling,81800,,600,900,100000
apparel,Shorts - Cycling,81801,,600,900,100000
apparel,Shorts - Cycling,81803,,600,900,100000
chainwheel,Chainwheel 32t VXM Round,40012,CHN,600,990,100000
derailleur,Front Derailleur - Alivio M430,81426,Avenue Bikes,600,1050,100000
forks,Fork 26 - Suspension STD ZOOM (no color),81730,Kent,600,1050,100000
handle bar,Handle Bar - MTB O/S Truvativ,81049,,600,990,100000
head,Headset - Internal Alloy Sealed,81434,Avenue Bikes,600,1080,100000
head,Headset - First rk Tapered Reducer 1.5,81727,Kent,600,1150,100000
Helmet,Helmet China Carbon/Colored,81493,CHN,600,990,100000
Helmet,Helmet New Moon,81561,CHN,600,1500,100000
misc,Sunglasses - PHMAX Polarized,81822,CHN,600,1500,100000
rims,Rim 29 - DW Alloy WTB,81550,Kent,600,1000,100000
rims,Rim 29 - WTB 29 Flat,81650,Kent,600,1000,100000
seat post,Seat Post - Truvativ with Pillar,81043,,600,950,100000
tires,Tire 26 Kenda Folding (small block),10107,,600,1050,100000
tires,Tire 26 x 2.0 Specialized Folding,105120,,600,1020,100000
tires,Tire 26 - Specialized Folding,16003,,600,990,100000
tires,Tire 26 x 1.95 Maxxis Pace,40138,Avenue Bikes,600,1050,100000
tires,Tire 26 x 2.00 SCOTT Folding,81143,Avenue Bikes,600,1050,100000
tires,Tire 26 x 4.0 Fatbike CST,81513,Kent,600,1200,100000
derailleur,Rear Derailleur micro shift m45,10197,,595,895,100000
tires,Tire 26 x 2.4 ONZA CITIUS/IBEX,81691,Avenue Bikes,595,900,100000
accessories,Helmet Venzo,10025,Avenue Bikes,590,1050,100000
tires,Tire 26 - Maxxis Pace,10494,,580,1050,100000
tires,Tire 27.5 x 1.95 Maxxis ICON,40190,Avenue Bikes,580,1020,100000
accessories,Helmet - Adult Giant,81259,CHN,575,1500,100000
apparel,Jersey Shirt Race Face,81841,CHN,570,950,100000
apparel,Jersey Shirt Race Face,81842,CHN,570,950,100000
apparel,Jersey Shirt Race Face,81843,CHN,570,950,100000
apparel,Jersey Shirt Race Face,81844,CHN,570,950,100000
rims,Rim 26 - WTB I23 disc ready (wide),81458,Kent,570,1050,100000
apparel,Sunglasses- Evzero UV400 TR90 colored,81852,CHN,565,950,100000
shifter,Shifter - Altus 8s M310,81460,Kent,560,990,100000
accessories,Flash Light - CREE with Mount,81130,CHN,550,975,100000
accessories,Headset - Awei 920BL,81440,CHN,550,990,100000
accessories,SKMEI Sports Men Digital Watch 50M Waterproof watch,81706,CHN,550,1150,100000
accessories,Multifunction Music Torch Light,81831,Lazada,550,960,100000
chain,Chain Shimano HG53 9S,81536,Kent,550,990,100000
chainwheel,Chainwheel - Shimano MTB 48t-m15/m131,81578,Avenue Bikes,550,900,100000
handle bar,handle bar mtb o/s MOSSO,10166,,550,935,100000
head,Headset Strider Alloy Sealed Internal OS,10513,,550,850,100000
hubs,Hub - for Kronos Bike Alloy,81673,Avenue Bikes,550,1100,100000
rims,Rim 26 - Mavic 319 (36 hole) Disk Ready,81341,Kent,550,900,100000
seat post,Seat Post – 27.2 SATRORI,81077,Avenue Bikes,550,950,100000
shifter,Shifter - Shifter w/ lever Shimano Acera 7s,10105,Kent,540,990,100000
Helmet,Helmet - CAIRBULL colored,81572,CHN,530,1150,100000
Sunglasses,Sunglasses Dubery,40181,CHN,525,1050,100000
chain,Chain 10s Shimano SLX HG54,81223,Kent,520,900,100000
saddles,Saddle - San Marcos Black,40037,,520,900,100000
saddles,Saddle - San Marcos 2-tone,81407,Avenue Bikes,520,910,100000
shifter,Shifter - SunRace Rapidfire 8S,30008,Kent,515,900,100000
head,Ahead-Stem Strider M70,16013,Avenue Bikes,510,890,100000
accessories,Bag - Underseat Cephone Bag,10324,,500,850,100000
accessories,Bicycle Computer - YS wireless set,81240,CHN,500,890,100000
accessories,Hydration Backpack - Ord,81422,,500,750,100000
accessories,Sunglasses Merrys Polarized,81492,CHN,500,990,100000
accessories,Polarized Sunglasses Army Goggles Daisy C5,81511,CHN,500,1100,100000
accessories,Polarized Sunglasses 20/20 night vision,81636,CHN,500,999,100000
accessories,Watch - Alike waterproof,81640,CHN,500,780,100000
accessories,Headset AWEI,81642,CHN,500,990,100000
accessories,SKMEI Watches Men Sports Digital Wristwatch,81703,CHN,500,1150,100000
accessories,SKMEI Men Big Dial Sports Watches Thin Strap,81705,CHN,500,999,100000
bottom bracket,Bottom Bracket - Shimano SMB70/B52,81287,Kent,500,1000,100000
chainwheel,Chainewheel - Truvatin MTB X Flow,30006,Kent,500,910,100000
derailleur,Front Derailler - Alivio M419/M412,10389,,500,900,100000
head,HeadSet for RoadBike First/Geneyea,40211,Kent,500,1000,100000
head,Stem - 110mm ABR,81345,Kent,500,900,100000
Helmet,Helmet - Kids colored (class A),81374,Avenue Bikes,500,950,100000
Helmet,Helmet - Adult with Visor,81375,CHN,500,950,100000
misc,Watch - Sanda waterproof,81661,CHN,500,950,100000
misc,Fork - from Unit Bike Fork OS/27/26/29,81895,,500,1050,100000
rims,Rim - 26 Maric 221 w-arlet,10021,Avenue Bikes,500,850,100000
rims,Rim 26 - Mavic 319-32 Hole (Disk Ready),81122,Kent,500,900,100000
saddles,Saddle Lietu (colored),81490,CHN,500,900,100000
shifter,Shifter - w/Lever 8s Shimano non-series,81234,Avenue Bikes,500,900,100000
tires,Tire 20 x 2.35 Ketch Colored,40098,Kent,500,950,100000
derailleur,Rear Derailleur - Altus 9s,81303,Avenue Bikes,496,950,100000
apparel,SKIMEI watch 50m Water resistant,81855,CHN,495,950,100000
accessories,Light - Front USB Recharge 3800 Lumens,81813,CHN,490,975,100000
frames,Frame 20 CP (Local),70023,Avenue Bikes,490,700,100000
frames,Frame - 20 CP Supershot/Performer,81402,Avenue Bikes,490,850,100000
freewheel,Freewheel 8s Cassette Type (Epoch)Shimano blk,10433,Avenue Bikes,485,990,100000
rims,Rim 26 - WTB Speed Disc/SX19/119 (disc ready),81457,Kent,485,865,100000
saddles,Saddle - Schwinn,81600,Kent,485,850,100000
accessories,Knee Pads - Kids,10475,,483,890,100000
accessories,Bicycle Computer Speedometer Class A,20043,,480,900,100000
accessories,SKMEI Sports Watches Watch small 50M Waterproof,81707,CHN,480,990,100000
misc,Head Set - GINEYEA (road),81851,Kent,480,840,100000
rims,Rim 700c GI TEN 50MM,81759,Kent,480,900,100000
rims,Rim 700C mavic CXP 22,81886,Kent,480,900,100000
tires,Tire 26 x 2.28 Kenda Blue Groove/Nevegal,81308,Avenue Bikes,480,960,100000
apparel,Shorts - Cycling,81802,,475,900,100000
accessories,CO2 Inflator 2n1 Giyo,40178,Kent,470,940,100000
accessories,Hydration only military color,81659,CHN,470,900,100000
Helmet,Helmet Plain Colors yellow/Green,81500,Kent,470,850,100000
misc,DiscBrake Pads - XTR XT BR-R785,81845,Kent,470,820,100000
handle bar,Drop bar - Road bike Alloy Black Cat,40157,Kent,460,850,100000
rims,Rim 29 - GTEN Flat type 36holes,81551,Kent,460,850,100000
chainwheel,Crankset - Shimano TY501 semi alloy,40133,Kent,455,850,100000
accessories,Hydration Water Bag,81369,CHN,450,750,100000
accessories,Knee Pad set for kids,81547,CHN,450,1000,100000
accessories,Bag - B-SOUL bike Frame Cellphone bag,81637,CHN,450,850,100000
accessories,Bag - RockBros cellphone bag,81660,CHN,450,850,100000
accessories,RockBros - Anti-slip Handle bar Tape Wrap,81860,CHN,450,900,100000
frames,Frame - 20 CP GT colored,10137,Avenue Bikes,450,795,100000
handle bar,Handle Bar - Force Alloy,15022,Avenue Bikes,450,750,100000
rims,rim 26 mtb k40 alloy,15014,,450,800,100000
Sunglasses,Sunglasses Polarsnow Polarized,40062,CHN,450,899,100000
tires,Tire 26x2.0 Specialized Resolution Kevlar wire-type,81450,Avenue Bikes,450,850,100000
accessories,Hydration back pack blue,10322,,444.5,550,100000
accessories,Hydration Back Pack YELLOW,10323,,444.5,550,100000
parts,Sprocket Cassette - KRONOS 9s 11-40T,40127,Avenue Bikes,443,675,100000
head,Ahead Stem - Trouper M75 Blk/Wht,10481,Avenue Bikes,440,770,100000
tires,Tire 29 x 2 Duro Mtb,81278,Avenue Bikes,440,800,100000
tires,Tire 26 x 1.95 DURO MINER,81688,Avenue Bikes,440,700,100000
head,Stem - Alloy 120MM Strider Trouper,81317,Avenue Bikes,430,800,100000
Helmet,Helmet - Ultralight Adult colored,81371,CHN,425,950,100000
misc,Jersey - Shirt only (all brands),81780,,425,900,100000
pedal,Pedal 9/16 Wellgo B155,40053,Kent,425,720,100000
pedal,Pedal 9/16 Wellgo M20 sealed bearing,40054,Kent,425,750,100000
saddles,Saddle - Fuji MTB,81115,Kent,425,800,100000
saddles,Saddle - Velo Cannondale,81333,Kent,425,850,100000
frames,Frame - 16 BMX CP,10138,Avenue Bikes,420,750,100000
Helmet,Helmet - KRONOS Adult Mission,81542,Avenue Bikes,420,950,100000
saddles,Saddle M Velo,81242,Kent,420,735,100000
saddles,Saddle Velo (brn/wht),81245,Kent,420,735,100000
accessories,Stem Ahead - KENCH USA Alloy Colored,40141,Avenue Bikes,400,750,100000
accessories,Pump –Foot STORM COLORED,72001,Avenue Bikes,400,700,100000
accessories,Bag - Giant 4 in 1,81254,CHN,400,700,100000
accessories,Chainwheel Bolt - 3-speed Strider/Storm,81433,Avenue Bikes,400,700,100000
accessories,Sunglasses - WEARKEEPER polarized lenses,81643,CHN,400,850,100000
accessories,Pump Foot No Guage Colored STM37,81683,Avenue Bikes,400,700,100000
bottom bracket,Bottom Bracket (BB) Octolink,10057,Avenue Bikes,400,695,100000
chainwheel,Chainwheel - MOTSUV 32/34t Colored,40002,CHN,400,700,100000
handle bar,Handle Bar - HR 31.8 x,81124,Kent,400,700,100000
handle bar,Handle Bar - Lixada 680mm,81167,,400,700,100000
head,Heaset - Alloy 1-1/8 External Colored Unbranded,40008,CHN,400,600,100000
head,Headset - Alloy OS external Sealed,82999,,400,750,100000
misc,Sunglasses -simi- Bamboo polarized,81641,,400,800,100000
parts,Fork Stem Riser - Alloy Color,81166,,400,750,100000
pedal,Pedal 9/16 MX1 Transparent Colored,81394,Avenue Bikes,400,700,100000
rims,Rim 26 - DC5.0 36 Hole Disc Ready,81453,Avenue Bikes,400,650,100000
saddles,saddle rubar white w blk line,10163,,400,700,100000
saddles,Saddle  - WBP VELO mtb,40195,Kent,400,800,100000
saddles,Saddle - SCHWINN BIO Tuned BLUE,40203,Kent,400,800,100000
saddles,Saddle - Velo Exeo,40240,Avenue Bikes,400,800,100000
saddles,Saddle - Velo Plain white,40241,Avenue Bikes,400,800,100000
saddles,Saddle VELO VL-1205 Nakita,81694,Avenue Bikes,400,700,100000
seat post,Seat Post 31.6 x 400 Alloy w/pillar,40136,Kent,400,750,100000
shifter,Micro-shifter rapidfire 8s,10461,Avenue Bikes,400,975,100000
tires,Tire 26 x 185 TIOGA ord.,10507,,400,720,100000
tires,Tire 26 x 2.28 Kenda Kinetics,81309,Avenue Bikes,400,800,100000
tires,Tire 27 - WTB Wolverine,81656,Avenue Bikes,400,800,100000
tires,Tire 27.5 x ? CST Serratus,81766,Kent,400,700,100000
pedal,Pedal 9/16 - CNC MZYRH colored,81663,CHN,399,800,100000
tires,Tire 26 x 2.35 Steed,15016,Avenue Bikes,390,700,100000
accessories,Dust Mast - Sireck Carbon Half Sports Dust Mask,81859,CHN,385,650,100000
hubs,Hub F/R Sealed Hub (MX3),81529,Kent,385,650,100000
accessories,KDEAM Polarized Sunglasses,81516,CHN,384,850,100000
accessories,Chainwheel Bolt - Single Speed Strider/Storm,81432,Avenue Bikes,380,665,100000
chainwheel,Crankset MTB semi-allow chn,81282,Kent,380,750,100000
forks,Fork 20 - Kent OS Threadless,81533,Kent,380,600,100000
head,Stem – Oval Stem,81273,Kent,380,665,100000
parts,OPC Sprocket Freezone 26t r/grn/gold/yel/blue,15008,Avenue Bikes,380,650,100000
pedal,Pedal 9/16 - Equipe,81404,Avenue Bikes,380,700,100000
saddles,Saddle DDK Speedline,10390,Avenue Bikes,380,795,100000
saddles,Saddle - Carver Velo,81064,,380,700,100000
tires,Tire 26 x 1.95 Axiom,81075,Avenue Bikes,380,665,100000
tires,Tire 26 x 1.95 Cheng Shin tw,81076,Avenue Bikes,380,665,100000
chainwheel,Chainwheel 36/38t MOTSUV,40011,,375,750,100000
derailleur,Rear Guide 8-speed Sunrace,30007,Kent,375,700,100000
freewheel,Sprocket 8-speed Sunrace,30009,Kent,375,650,100000
saddles,Saddle - Strida,81114,Kent,365,675,100000
saddles,Saddle Blackburn,81241,Kent,365,650,100000
saddles,Saddle Velo Plush Red,81244,Kent,365,650,100000
tires,Tire 27.5 CST BFT,81499,Kent,365,695,100000
head,External sealed Headset 1.1/8 colored,40024,,360,700,100000
pedal,Pedal 9/16 Alloy Mosso,10068,Avenue Bikes,360,650,100000
Tools,IceToolz Chain Cutter 61A3,81092,,360,0,100000
accessories,Pump – Foot pump STORM Black,72002,Avenue Bikes,350,800,100000
accessories,Sunglasses STORY Polarized,81491,CHN,350,700,100000
accessories,Light - Dynamo with Generator,81568,Avenue Bikes,350,600,100000
accessories,Sireck - Waterproof Waist Sport bag,81861,CHN,350,875,100000
forks,Fork 26 W-Suspension STD colored,10375,Avenue Bikes,350,675,100000
head,Ahead Alloy Animal/Scott bmx treadless,10386,Avenue Bikes,350,600,100000
head,Ahead Stem - ZTTO Alloy OS,81817,CHN,350,700,100000
hubs,Hub - front and rear - alloy (Storm),10471,Avenue Bikes,350,600,100000
misc,Sunglasses - Story Polarized,81829,CHN,350,750,100000
pedal,Pedal 9/16 Alloy FPD 408,81395,Avenue Bikes,350,600,100000
rims,Rim 26 - 36h ACE disc ready,81654,Avenue Bikes,350,700,100000
saddles,Saddle - ZERO mtb,40204,Kent,350,700,100000
saddles,Saddle - Velo Morrison mtb,81178,Kent,350,650,100000
saddles,Saddle Velo Bantrager,81243,Kent,350,625,100000
saddles,Saddle - Brompton,81601,Kent,350,650,100000
seat post,Seat Post 27.2 Alloy Component Cromax,20050,,350,525,100000
seat post,Seat Post - WBP 27.2,81078,Avenue Bikes,350,625,100000
seat post,Seat Post - 27.2 PROMAX,81695,Avenue Bikes,350,600,100000
seat post,Seat Post - 31.6 x 400mm Bontrager Alloy,81846,Kent,350,620,100000
tires,Tire 29 x 2.10 Panaracer,81418,Kent,350,700,100000
tires,Tire 26 x 2.2 MOTTO,81690,Avenue Bikes,350,600,100000
saddles,Saddle Pinnacle (red/blk),81246,Kent,345,600,100000
tires,Tire 26 x 2.1 innova #2548,10162,,340,595,100000
tires,Tire 26 STEED #2562 Road Tread,10164,,340,620,100000
tires,Tire 26 - Steed 2.00,10470,,340,680,100000
tires,Tire 26 x 2.0 Kenda KickBack,81074,Avenue Bikes,340,650,100000
accessories,Kickstand - Alloy mtb high Class A,81225,CHN,330,750,100000
chain,Chain - 9s YBN 116L grey,40109,Kent,330,650,100000
shifter,Shifter w/ Lever 7s  Shimano non-series,81198,Kent,330,750,100000
brakes,disc Brake Caliper - Mech F180 R160,40078,CHN,325,650,100000
pedal,Pedal 9/16 Folding Transparent,81300,Avenue Bikes,325,650,100000
saddles,Saddle - Bontrager Select MTB,40194,Kent,325,650,100000
saddles,Saddle - Velo Mission mtb,81176,Kent,325,650,100000
saddles,Saddle - Velo Power Tools (brown),81334,Kent,325,650,100000
accessories,Display Stand - L Type,40153,Kent,320,600,100000
handle bar,Handle Bar - Bull Horn Alloy,81192,Kent,320,575,100000
saddles,Saddle - Velo Plush,81058,Kent,320,560,100000
saddles,Saddle - Stace Airflow,81059,Kent,320,700,100000
saddles,Saddle - Velo Black mtb,81177,Kent,320,500,100000
saddles,Saddle Pinnacle (grey),81247,Kent,320,560,100000
tires,Tire 26 x 1-3/8 Kenda (590mm),81203,Avenue Bikes,320,550,100000
parts,Sprocket Cassette  -  KRONOS 11-36T,40126,Avenue Bikes,319,650,100000
saddles,Saddle - Nana Velo,40202,Kent,315,630,100000
accessories,Repair Display Stand with Hook,40156,Kent,310,550,100000
accessories,Kickstand Center Adjustable alloy,10422,,300,525,100000
accessories,Jersey - Specialize Shirt only,10423,,300,510,100000
accessories,Jersey - Sky Brit shirt only.,10480,,300,510,100000
accessories,Rear Lazer light,16027,,300,500,100000
accessories,Jersey - FOX shirt only,20071,,300,510,100000
accessories,Jersey - Merida Shirt only,20072,,300,510,100000
accessories,Cycling Shorts unbranded,81252,Kent,300,650,100000
accessories,Gloves - Sporcs Star DKS,81373,CHN,300,550,100000
accessories,Air Camping Banana Bed,81598,,300,499,100000
brakes,disc Brake Caliper - Mech F160 R140,40077,CHN,300,600,100000
forks,Fork 20 with V-Brake Nubs,81569,Avenue Bikes,300,530,100000
freewheel,Freewheel Cassette HG-31 8s Shimano blk,10437,Kent,300,595,100000
handle bar,Handle bar - MTB Alloy OEM 680mm,81403,Avenue Bikes,300,500,100000
handle post,Handle post for folding bike,10426,,300,600,100000
handlegrip,Handle Grip FL 427-2 colored,10366,,300,510,100000
handlegrip,Handle Grip FL 427-3 colored sharp,10367,,300,510,100000
head,Ahead (stem) - Storm 279,10124,Avenue Bikes,300,525,100000
head,Ahead Wake - Short Alloy OS,81165,,300,500,100000
pedal,Pedal 9/16 Alloy WELLGO,81141,Avenue Bikes,300,600,100000
rims,Rim 26 - 36h ACE EYE CNC,81653,Avenue Bikes,300,600,100000
saddles,Saddle - SCHWINN Trail Tubed,40193,Kent,300,600,100000
saddles,Saddle - Spider RockBro (colors),81146,CHN,300,600,100000
saddles,Saddle - Velo Black ord,81179,Kent,300,525,100000
tires,Tire 20 x 1.35 Colored Steed,10438,,300,525,100000
tires,Tire 27.5 x 1.95 Steed,81357,Avenue Bikes,300,600,100000
tires,Tire 27 - Innova Steed Wired,81400,Avenue Bikes,300,500,100000
tires,Tire 700 x 38C (632mm),81657,Avenue Bikes,300,700,100000
tires,Tire 700c x 28mm IRC Redstorm,81722,Kent,300,550,100000
hubs,Sealed BB Axle Tange 122 118,10189,Avenue Bikes,295,550,100000
pedal,Pedal 9/16 - w Toe clip and Strap,81740,Kent,295,530,100000
tires,Tire 700c x 23mm Serfas colored,81805,,295,550,100000
accessories,Light - F-R Light set,10187,,290,395,100000
accessories,Fender Dodge (f&r),81396,,290,500,100000
accessories,Fender Titan (f&r),81397,Avenue Bikes,290,500,100000
saddles,Saddle - G-Access VELO,40201,Kent,290,580,100000
tires,Tire 26 x 1.95 CST/Kent Medium,81125,Kent,288,530,100000
tires,Tire 26 x 1.95 CST Small Block,81712,Kent,288,500,100000
accessories,Helmet - Angry Birds Kids,40005,,285,500,100000
accessories,Helmet kiddie ima/ tommy star,40034,,285,500,100000
handle bar,Handlebar - Catcher 10inch (NOT OILSLICK),40125,Avenue Bikes,285,485,100000
handle bar,"Handle Bar - BMX Catcher-Freezone 9"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Rise",81349,Avenue Bikes,285,500,100000
Helmet,Helmet - Kids Carton character class B,81731,Avenue Bikes,285,570,100000
misc,Rotor Only - Shimano RT26 180mm,81847,Kent,285,480,100000
misc,Handle Grip FL 427-2 PRO PALM 005,81849,Kent,285,510,100000
saddles,Saddle - Answer Velo,81602,Kent,285,525,100000
accessories,Bicycle Computer - Speedometer wired china,10183,CHN,280,480,100000
forks,Fork 16 Suspension,81685,Avenue Bikes,280,500,100000
parts,Bar End STORM (Carbon Finish),10265,Avenue Bikes,280,490,100000
saddles,Saddle - Red Blue Velo,81337,Kent,280,560,100000
accessories,Jogging Phone holder,81580,CHN,275,495,100000
bottom bracket,BB - Shimano UN26 122mm,10493,Kent,275,500,100000
chain,Chain 116L Shimano 8s (HG71),81574,Kent,275,480,100000
saddles,Saddle - VELO mtb ORD,40196,Kent,275,550,100000
saddles,Saddle - VELO with Hole BLUE,40198,Kent,275,550,100000
saddles,Saddle - Giant MTB White/Blue/Black,40200,Kent,275,550,100000
saddles,Saddle - Velo blk and white,81607,Kent,275,500,100000
tires,Tire 29 - Arison Smallblock,81535,Kent,275,475,100000
parts,Rotor Set w cable,10104,Avenue Bikes,270,350,100000
pedal,Pedal 9/16 VP Components,81070,Avenue Bikes,270,490,100000
seat post,Seat Post Alloy 30.9 (for Giant bike),81216,Kent,265,470,100000
tires,Tire 27.5 x 2.10 DURO,40152,Kent,265,500,100000
tires,Tire 26x2.10 Arisun,81502,Kent,265,500,100000
tires,Tire 29 - arisun CYT 700cx38c blk,81552,Kent,265,490,100000
accessories,Gloves CG-3210 (catcher),10092,,261,530,100000
accessories,Gloves Pearl Izumi,81549,CHN,260,550,100000
brakes,Rotor Only - Shimano RT-54 (each),81098,Kent,260,455,100000
chain,Chain - 8s Taya Octo SS/UL,81681,Avenue Bikes,260,455,100000
chainwheel,Chainwheel - Ladies Bike semi-alloy,81629,Avenue Bikes,260,500,100000
freewheel,Sprocket Freewheel Shimano TX 21 7s,40140,Avenue Bikes,255,490,100000
misc,Rim Set w/spokes n hub,81627,,255,450,100000
tubes,Tube 26 x 4.0 FatBike CST,81514,Kent,255,510,100000
accessories,Bag - Double Tube Bag,10098,,250,495,100000
accessories,Bag - Triangle Frame bag,10099,,250,590,100000
accessories,repair/ display stand tw,15019,Kent,250,500,100000
accessories,Disc Brake - Rotar Only Bracko,81227,Kent,250,400,100000
accessories,Handle Grip - Warrior BMX,81291,Avenue Bikes,250,450,100000
accessories,Rotor - 160mm Colored,81662,CHN,250,450,100000
accessories,Horn - Bicycle Waterproof Electric bell,81665,CHN,250,595,100000
accessories,Light - Mini USB 4 LED light,81880,CHN,250,350,100000
bottom bracket,BB - Shimano 68LL 113,10492,Avenue Bikes,250,450,100000
brakes,Brake Shoe - Alligator Road Colors,40038,Avenue Bikes,250,450,100000
handle bar,Handle bar - Bmx Haro,10128,,250,400,100000
handle bar,Handle Bar - BMX (M design),81081,Avenue Bikes,250,400,100000
handle bar,Handle Bar - BMX (Knee Saver),81674,Avenue Bikes,250,450,100000
misc,Helmet - Adult - 21 vent,81261,Avenue Bikes,250,600,100000
misc,Ahead (stem) - SCOTT 70mm/90mm,81856,Avenue Bikes,250,500,100000
parts,Sprocket Freewheel - 6S Monsoon,40007,,250,400,100000
saddles,Saddle Giant,89118,Kent,250,455,100000
seat post,Seat Post - X-nine 27.2mm with Pillar,81274,Kent,250,375,100000
Sunglasses,Sunglasses YOOSKE,40182,CHN,250,499,100000
tires,Tire 20 x 1.75 Duro Colored,10439,Avenue Bikes,250,450,100000
tires,Tire 20 x 1.5 Colored Steed,10441,,250,450,100000
tires,Tire 29 CYT,81311,Kent,250,500,100000
hubs,Hub - F and R Kent MX-3 alloy,81528,Kent,245,450,100000
saddles,Saddle - Softro w/spring Brown,81142,Avenue Bikes,245,420,100000
accessories,Seat Clamp 31.8 Strider Trouper,81416,Avenue Bikes,240,420,100000
accessories,Knife - Boot knife (black),81444,CHN,240,450,100000
derailleur,Front Derailleur - MicroShifter SunRace m20,10198,,240,410,100000
derailleur,Derailleur - Front 34.9x48T Dual Pull FD-M34 Sunrace,40091,Avenue Bikes,240,450,100000
derailleur,Rear Derailleur Sunrace M40,81538,Kent,240,450,100000
handlegrip,Lever Bracket Cover ST-6700,40217,Kent,240,480,100000
pedal,Pedal 9/16 - VPE-196 w/BOX Alloy,81738,Kent,238,430,100000
tires,Tire 20 x 1.5 CST Colored,81708,Kent,238,420,100000
accessories,Pump - Hand Pump Storm w/ Gauge STM#41,15012,,235,410,100000
accessories,Hand Pump w/gauge - Kent,81095,Kent,235,420,100000
accessories,Hand Pump - Storm 96L Alloy,81390,Avenue Bikes,235,420,100000
accessories,Hand Pump - Gyro w/guage GP-961A,81605,Kent,235,425,100000
hubs,Hub - Front and Rear Hub Q.R Alloy,10702,Avenue Bikes,235,425,100000
pedal,Pedal 9/16 VP Carbonated blue,40051,Kent,235,420,100000
pedal,Pedal 1/2 VP Carbonated asstd. color,40052,Kent,235,420,100000
pedal,Pedal - 916 vp-199a,81648,Kent,235,450,100000
saddles,Saddle - Scott VELO,40199,Kent,235,470,100000
tires,Tire 20 x 2.125 - JUMBO 747,10220,Avenue Bikes,235,400,100000
tires,Tire 700c x 25mm Impac,81723,Kent,235,430,100000
tubes,Tube 700 x 23c CST Superlight 80mm,40215,Kent,235,470,100000
hubs,Hub - Tricikad Rear hub 6203 Gold,10058,Kent,232,405,100000
chain,Chain - 8s Taya TB-600 Silver/Silver,81614,Avenue Bikes,230,450,100000
